ἀμμ-	ἀναμ-	).	ἀμμένω, ἀμμίγνυμι	2
ἀρρενίκιον	ἀρσενίκιον	 (	ἀρρενικόν	2
ἇς2	ἅς, ἄς	éol. et dor. 	ἕως	13
Ἀσσάκανοι	Ἀσσακηνοί	les Assakanes ou Assakènes	Ἀσσακανός	26
Ἀσσυρίηθε	Ἀσσυρίηθεν	d'Assyrie	Ἀσσυρία	9
ἄσφε	ἄσφι	éol.	σφέ, σφί	4
βησασά	βησασᾶ	sorte de plante, 	ἅρμαλα	17
δέατος	δέαρ, δέας	 crainte	δέος	8
δήπουθε	δήπουθεν	particul. devant une voy., adv. 	δήπου	32
εἰργάθω	ἐργάθω, ἐεργάθω	 seul. prés. inf	εἴργω	16
ἐπευθές	ἐπευθύς	adv. directement, 	εὐθέως	18
εὑρείτης	εὐρείτας, ἐϋρρείτης	[	εὔροος	1
ἕωσπερ	ἕως περ	conj. aussi longtemps que, tant que, se construit comme ἕως,	ἕως	60
Ζήν	Ζῆν	 ; nom. sous la forme dor	Ζεύς	25
κόρνωψ	κόρνοψ	sauterelle, mot thessal. d'Œta, 	πάρνοψ	32
μοναδόν	μουναδόν	adv. 	μονάδην	5
μυχαίτερος	μυχαίτατος	).	μυχοίτατος	2
μωμέω	μωμέομαι	(	μωμάομαι	1
ὁμῇ	ὁμῆ	adv. 	ὁμοῦ	5
ὁπόσε	ὁππόσε	poét. 	ὅποι	6
πανσυδόν	πασσυδόν	 tous ensemble	πανσυδίῃ	14
Παρνασιάς	Παρνησιάς	adj. f. 	Παρνάσιος	8
πασιφάεις	πασιφάεσσα	adj. 	πασιφαής	5
πειρατέον	πειρατέα	{d	πειράω	2
προκαθηγέτις	προκαθαγέτις	fém. 	προκαθηγητής	5
Ταμάσιος	Ταμάσσιος	de Tamasos ou Tamassos	Τάμασος	22
τιθηνίζω	τιθηνίζομαι	[	τιθηνέω	1
τοσουτοσί	τοσαυτηΐ, τοσούτοΐ, τοσουτονί	att. 	τοσοῦτος	5
ὕσσακος	ὕσσαξ	\ital	ὑσσάκων	5
φιλομηδής	φιλομμηδής	béot. 	φιλομειδής	6
φύλακος	φυλακός	poét. 	φύλαξ	6
ψογέω	ψογίζω	,	ψέγω	1
ὠϐή	ὠϐά	section de tribu lacédémonienne, correspondant à la phratrie	φρατρία	60
ὧς	ὡς	adv. de lieu dor. 	οὗ	18
